TEAM,W,D,L,RESULTS
Middlesbrough-West Ham,2.5,3.2,3.25,l
Stoke-Man United,6,4.2,1.6,d
West Brom-Sunderland,1.7,3.8,5.75,w
Arsenal-Burnley,1.2,7.5,17,w
Chelsea-Hull,1.18,8,19,w
Southampton-Leicester,1.83,3.5,5.25,w
Arsenal-Watford,1.22,7,15,l
Bournemouth-Crystal Palace,2.05,3.5,3.9,l
Burnley-Leicester,2.9,3.25,2.7,w
Liverpool-Chelsea,2.65,3.25,2.9,d
Middlesbrough-West Brom,2.7,3.1,3,d
Sunderland-Tottenham,9.5,5.25,1.36,d
Swansea-Southampton,3.4,3.4,2.3,w
Man United-Hull,1.2,7.5,17,d
Stoke-Everton,2.88,3.4,2.63,d
West Ham-Man City,6,4.5,1.57,l
Chelsea-Arsenal,1.95,3.6,4.2,w
Crystal Palace-Sunderland,1.7,3.9,5.5,l
Everton-Bournemouth,1.7,4,5.25,w
Hull-Liverpool,8,4.75,1.45,w
Southampton-West Ham,1.85,3.75,4.5,l
Tottenham-Middlesbrough,1.29,6,13,w
Watford-Burnley,2.15,3.3,3.9,w
West Brom-Stoke,2.3,3.25,3.5,w
Leicester-Man United,5.75,4,1.65,l
Man City-Swansea,1.22,7,15,w
Arsenal-Hull,1.29,6,13,w
Liverpool-Tottenham,2.3,3.4,3.4,w
Man United-Watford,1.25,6.5,14,w
Middlesbrough-Everton,3.9,3.3,2.15,d
Stoke-Crystal Palace,2.15,3.3,3.9,w
Sunderland-Southampton,3.9,3.4,2.1,l
West Ham-West Brom,2.25,3.3,3.6,d
Burnley-Chelsea,9,5,1.4,d
Swansea-Leicester,2.4,3.3,3.25,w
Bournemouth-Man City,7.5,5,1.44,l
Chelsea-Swansea,1.25,6.5,15,w
Crystal Palace-Middlesbrough,2.1,3.2,4.2,w
Everton-Sunderland,1.4,5.25,8.5,w
Hull-Burnley,2.15,3.3,3.9,d
Watford-West Ham,2.63,3.3,2.9,d
West Brom-Bournemouth,2.1,3.4,4,w
Tottenham-Stoke,1.44,5,7.5,w
Leicester-Liverpool,5.5,4.2,1.65,w
Leicester-Hull,1.85,3.6,4.75,w
Liverpool-Arsenal,2.15,3.6,3.6,w
Man United-Bournemouth,1.25,6.5,15,d
Stoke-Middlesbrough,1.95,3.4,4.5,w
Swansea-Burnley,2,3.5,4.2,w
Watford-Southampton,3.6,3.4,2.2,l
West Brom-Crystal Palace,2.2,3.3,3.8,l
Sunderland-Man City,11,6.5,1.29,l
Tottenham-Everton,1.67,4.2,5.25,w
West Ham-Chelsea,6,4.1,1.62,l
Man City-Stoke,1.25,6.5,15,d
Bournemouth-West Ham,2.6,3.5,2.8,w
Everton-West Brom,1.67,3.8,6,w
Hull-Swansea,2.55,3.3,3,w
Liverpool-Burnley,1.25,6.5,14,w
Bournemouth-Swansea,2.15,3.5,3.6,w
Crystal Palace-Watford,1.91,3.5,4.75,w
Everton-Hull,1.53,4.33,7,w
Stoke-Chelsea,6.5,4,1.62,l
Sunderland-Burnley,2.55,3.3,3,d
West Brom-Arsenal,5.25,4,1.73,w
West Ham-Leicester,2.3,3.5,3.3,l
Man City-Liverpool,2,3.75,3.8,d
Middlesbrough-Man United,6,3.7,1.7,l
Tottenham-Southampton,1.73,3.8,5.5,w
Burnley-Tottenham,5.75,3.8,1.7,l
Chelsea-Crystal Palace,1.3,5.75,12,l
Hull-West Ham,2.45,3.4,3.1,w
Leicester-Stoke,2.05,3.5,4,w
Liverpool-Everton,1.73,3.9,5.25,w
Man United-West Brom,1.36,5,11,d
Southampton-Bournemouth,1.65,4,6,d
Watford-Sunderland,1.85,3.6,4.75,w
Arsenal-Man City,3.1,3.75,2.3,d
Swansea-Middlesbrough,2,3.4,4.33,d
Burnley-Stoke,2.5,3.1,3.3,w
Leicester-Sunderland,1.45,4.5,8.5,w
Man United-Everton,1.57,4.2,6.5,d
Watford-West Brom,2.5,3.2,3.2,w
Arsenal-West Ham,1.4,5.25,8,w
Chelsea-Man City,2.4,3.5,3.1,w
Hull-Middlesbrough,2.05,3.3,4.2,w
Liverpool-Bournemouth,1.36,5.25,9.5,d
Southampton-Crystal Palace,1.83,3.7,4.75,w
Swansea-Tottenham,5,4,1.73,l
Bournemouth-Chelsea,6.5,4,1.6,l
Man City-Hull,1.2,7.5,17,w
Middlesbrough-Burnley,2.45,3.1,3.4,d
Stoke-Liverpool,4,3.75,1.95,l
Tottenham-Watford,1.25,6.5,15,w
West Brom-Southampton,3,3.3,2.55,l
West Ham-Swansea,2.1,3.6,3.7,w
Everton-Leicester,1.75,3.9,5,w
Sunderland-Man United,10,5.25,1.36,l
Crystal Palace-Arsenal,4.5,3.9,1.83,w
Crystal Palace-Leicester,1.73,3.6,4.75,d
Everton-Burnley,1.4,4.5,8,w
Southampton-Man City,4.33,4,1.73,l
Stoke-Hull,1.95,3.3,4,w
Sunderland-West Ham,3.3,3.25,2.2,d
Tottenham-Bournemouth,1.25,6,10,w
Watford-Swansea,2.4,3.3,2.9,w
Man United-Chelsea,2.55,3.2,2.8,w
West Brom-Liverpool,4,3.8,1.8,l
Middlesbrough-Arsenal,7,4,1.5,l
Bournemouth-Middlesbrough,1.85,3.75,4.5,w
Hull-Watford,1.91,3.7,4.33,w
Swansea-Stoke,2.2,3.4,3.6,w
West Ham-Everton,3.3,3.6,2.25,d
Burnley-Man United,5.75,4,1.67,l
Liverpool-Crystal Palace,1.5,4.75,7,l
Chelsea-Southampton,1.45,4.6,8.5,w
Arsenal-Leicester,1.6,4.5,5.75,w
Crystal Palace-Tottenham,5.5,4.2,1.65,l
Middlesbrough-Sunderland,2.3,3.4,3.4,w
Man City-Man United,1.91,3.75,4.2,d
Crystal Palace-Burnley,1.75,3.5,4.75,l
Southampton-Hull,1.6,3.75,5.75,d
Stoke-West Ham,2,3.5,3.6,d
Sunderland-Bournemouth,3,3.4,2.3,l
West Brom-Leicester,2.4,3.5,2.75,l
Everton-Chelsea,3.5,3.6,2,l
Man United-Swansea,1.36,4.75,8,d
Middlesbrough-Man City,13,5.25,1.25,d
Tottenham-Arsenal,1.85,3.75,4,w
Watford-Liverpool,5.75,4.5,1.5,l
West Ham-Tottenham,8.5,5.25,1.4,w
Bournemouth-Stoke,2.25,3.6,3.3,d
Burnley-West Brom,2.25,3.3,3.6,d
Hull-Sunderland,1.44,4.75,8,l
Leicester-Watford,1.57,4.2,6.5,w
Man City-Crystal Palace,1.29,6.5,11,w
Swansea-Everton,2.8,3.5,2.63,w
Arsenal-Man United,1.91,3.7,4.33,w
Liverpool-Southampton,1.62,4.2,6,d
Chelsea-Middlesbrough,1.17,9,19,w
Southampton-Arsenal,3.6,3.8,2.05,l
Everton-Watford,1.5,4.5,7.5,w
West Brom-Chelsea,10,5.25,1.36,l
Bournemouth-Burnley,1.91,3.75,4.2,w
Man City-Leicester,1.25,7,12,w
Middlesbrough-Southampton,4,3.6,2,l
Stoke-Arsenal,4.75,4.1,1.75,l
Sunderland-Swansea,4.2,3.8,1.91,l
Crystal Palace-Hull,2.1,3.6,3.75,w
Tottenham-Man United,1.73,3.9,5.25,w
West Ham-Liverpool,5.25,4,1.7,l
Chelsea-Watford,1.25,6.75,13,w
Arsenal-Sunderland,1.09,13,29,w
Man City-West Brom,1.14,9,23,w
Southampton-Man United,2.75,3.3,2.8,d
Leicester-Tottenham,4.5,3.8,1.85,l
Arsenal-Everton,1.45,5,7.5,w
Burnley-West Ham,2.45,3.5,3,l
Chelsea-Sunderland,1.14,9,23,w
Hull-Tottenham,7,4.75,1.5,l
Leicester-Bournemouth,2,3.6,4,d
Liverpool-Middlesbrough,1.14,9,23,w
Man United-Crystal Palace,2.5,3.3,3.1,w
Southampton-Stoke,1.8,3.8,4.75,l
Swansea-West Brom,2.1,3.5,3.75,w
Watford-Man City,11,6,1.3,l
